peak_x,peak_y,check,peak_h,peak_name,prominence,col_x,col_y,col_h,parent_x,parent_y,parent_h,parent_name,remark
120.7597,23.8014,23.8014 120.7597,636,,245,120.7431,23.7650,391,120.95728,23.47,3952,玉山,1
120.9564,24.3992,24.3992 120.9564,1449,司馬限山,244,120.9764,24.4053,1205,120.95728,23.47,3952,玉山,0
121.1878,24.3064,24.3064 121.1878,3305,佳陽山,244,121.1933,24.3108,3061,121.2319,24.3831,3878,雪山,0
120.4964,23.2475,23.2475 120.4964,850,二尖山,243,120.5008,23.2586,607,120.95728,23.47,3952,玉山,0
121.2531,24.7936,24.7936 121.2531,658,石牛山,241,121.2589,24.7844,417,120.95728,23.47,3952,玉山,0
121.2394,23.7244,23.7244 121.2394,3002,六順山,240,121.2408,23.7072,2762,121.2392,23.6936,3039,關門山北峰,0
121.3858,24.5878,24.5878 121.3858,2422,西丘斯山,240,121.3817,24.5903,2182,121.3728,24.5939,2440,泰矢生山-2,0
121.1172,23.6233,23.6233 121.1172,3504,可樂可樂安,240,121.1017,23.6275,3264,121.0919,23.6267,3607,東郡大山,0
121.3517,24.2442,24.2442 121.3517,3264,鈴鳴山,239,121.3450,24.2269,3025,121.3472,24.2133,3361,畢祿山,0
120.7278,22.2386,22.2386 120.7278,687,中心崙山,238,120.7411,22.2425,449,120.95728,23.47,3952,玉山,0
120.7864,24.4206,24.4206 120.7864,565,三角山,238,120.7975,24.4108,327,120.95728,23.47,3952,玉山,0
121.1372,24.3544,24.3544 121.1372,3511,奇峻山,238,121.1294,24.3472,3273,121.1211,24.3306,3524,大雪山,0
120.4367,22.9611,22.9611 120.4367,350,,236,120.4558,22.9906,114,120.95728,23.47,3952,玉山,1
121.3297,23.8792,23.8792 121.3297,2445,南二子山北峰,236,121.3283,23.8725,2209,121.3258,23.8631,2521,,0
120.9683,22.9486,22.9486 120.9683,2588,小禿山,236,120.9619,22.9564,2352,120.95728,23.47,3952,玉山,0
120.7783,22.3083,22.3083 120.7783,1081,佳菩安山,236,120.7947,22.3156,845,120.95728,23.47,3952,玉山,0
121.6081,24.9178,24.9178 121.6081,396,九紀山,235,121.6072,24.9092,161,120.95728,23.47,3952,玉山,0
121.4542,23.9775,23.9775 121.4542,974,烏帽子山,234,121.4492,23.9822,740,120.95728,23.47,3952,玉山,0
